File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lcd.o,25.951172%,10470,650,1840,8620,10,640
c_w.l,18.993679%,7663,96,7112,551,0,96
usb_core.o,5.304251%,2140,4,2136,0,4,0
btod.o,4.798612%,1936,0,1936,0,0,0
usb_regs.o,4.421862%,1784,0,1784,0,0,0
_printf_fp_dec.o,2.612468%,1054,0,1054,0,0,0
stm32f10x_usart.o,2.290247%,924,0,924,0,0,0
hw_config.o,2.047342%,826,6150,824,0,2,6148
_printf_fp_hex.o,1.987855%,802,0,764,38,0,0
stm32f10x_rcc.o,1.923411%,776,20,756,0,20,0
lcd_init.o,1.923411%,776,0,776,0,0,0
usb_prop.o,1.650762%,666,146,520,0,146,0
stm32f10x_gpio.o,1.645805%,664,0,664,0,0,0
usb_int.o,1.368199%,552,4,548,0,4,0
stm32f10x_dma.o,1.209567%,488,0,488,0,0,0
main.o,1.209567%,488,0,488,0,0,0
fz_ws.l,1.184781%,478,0,478,0,0,0
usart.o,1.150081%,464,12,452,0,12,0
usb_istr.o,1.050936%,424,68,356,0,68,0
__printf_flags_ss_wp.o,1.013756%,409,0,392,17,0,0
system_stm32f10x.o,0.971620%,392,20,372,0,20,0
usb_pwr.o,0.954269%,385,45,372,0,13,32
bigflt0.o,0.931962%,376,0,228,148,0,0
startup_stm32f10x_hd.o,0.912133%,368,1536,64,304,0,1536
lc_ctype_c.o,0.783244%,316,0,44,272,0,0
usb_endp.o,0.703929%,284,68,280,0,4,64
fmul.o,0.639484%,258,0,258,0,0,0
stm32f10x_exti.o,0.584955%,236,0,236,0,0,0
usb_desc.o,0.503160%,203,26,0,177,26,0
_printf_wctomb.o,0.485810%,196,0,188,8,0,0
_printf_hex_int_ll_ptr.o,0.465981%,188,0,148,40,0,0
misc.o,0.456066%,184,0,184,0,0,0
_printf_intcommon.o,0.441195%,178,0,178,0,0,0
delay.o,0.386665%,156,4,152,0,4,0
fnaninf.o,0.347007%,140,0,140,0,0,0
rt_memcpy_v6.o,0.342050%,138,0,138,0,0,0
lludiv10.o,0.342050%,138,0,138,0,0,0
strcmpv7m.o,0.317264%,128,0,128,0,0,0
_printf_fp_infnan.o,0.317264%,128,0,128,0,0,0
_printf_longlong_dec.o,0.307349%,124,0,124,0,0,0
_printf_dec.o,0.297435%,120,0,120,0,0,0
_printf_oct_int_ll.o,0.277606%,112,0,112,0,0,0
usb_sil.o,0.267691%,108,0,108,0,0,0
rt_memcpy_w.o,0.247862%,100,0,100,0,0,0
__dczerorl2.o,0.223076%,90,0,90,0,0,0
_printf_str.o,0.203247%,82,0,82,0,0,0
led.o,0.198290%,80,0,80,0,0,0
_printf_pad.o,0.193333%,78,0,78,0,0,0
sys_stackheap_outer.o,0.183418%,74,0,74,0,0,0
lc_numeric_c.o,0.178461%,72,0,44,28,0,0
usb_mem.o,0.178461%,72,0,72,0,0,0
_wcrtomb.o,0.158632%,64,0,64,0,0,0
ffixu.o,0.153675%,62,0,62,0,0,0
strlen.o,0.153675%,62,0,62,0,0,0
usb_init.o,0.136324%,55,43,40,0,15,28
__scatter.o,0.128888%,52,0,52,0,0,0
_printf_char_common.o,0.118974%,48,0,48,0,0,0
_printf_wchar.o,0.109059%,44,0,44,0,0,0
_printf_char.o,0.109059%,44,0,44,0,0,0
m_ws.l,0.099145%,40,0,40,0,0,0
fpclassify.o,0.099145%,40,0,40,0,0,0
_printf_charcount.o,0.099145%,40,0,40,0,0,0
vsprintf.o,0.089230%,36,0,36,0,0,0
_printf_truncate.o,0.089230%,36,0,36,0,0,0
_printf_char_file.o,0.089230%,36,0,36,0,0,0
libinit2.o,0.074359%,30,0,30,0,0,0
__scatter_zi.o,0.069401%,28,0,28,0,0,0
__2printf.o,0.059487%,24,0,24,0,0,0
exit.o,0.044615%,18,0,18,0,0,0
stm32f10x_it.o,0.044615%,18,0,18,0,0,0
rt_ctype_table.o,0.039658%,16,0,16,0,0,0
__printf_wp.o,0.034701%,14,0,14,0,0,0
__rtentry2.o,0.029743%,12,0,12,0,0,0
fretinf.o,0.024786%,10,0,10,0,0,0
rtexit2.o,0.024786%,10,0,10,0,0,0
_sputc.o,0.024786%,10,0,10,0,0,0
_printf_ll.o,0.024786%,10,0,10,0,0,0
_printf_l.o,0.024786%,10,0,10,0,0,0
rt_locale_intlibspace.o,0.019829%,8,0,8,0,0,0
libspace.o,0.019829%,8,96,8,0,0,96
ferror.o,0.019829%,8,0,8,0,0,0
__main.o,0.019829%,8,0,8,0,0,0
heapauxi.o,0.014872%,6,0,6,0,0,0
_printf_x.o,0.014872%,6,0,6,0,0,0
_printf_u.o,0.014872%,6,0,6,0,0,0
_printf_s.o,0.014872%,6,0,6,0,0,0
_printf_p.o,0.014872%,6,0,6,0,0,0
_printf_o.o,0.014872%,6,0,6,0,0,0
_printf_n.o,0.014872%,6,0,6,0,0,0
_printf_ls.o,0.014872%,6,0,6,0,0,0
_printf_llx.o,0.014872%,6,0,6,0,0,0
_printf_llu.o,0.014872%,6,0,6,0,0,0
_printf_llo.o,0.014872%,6,0,6,0,0,0
_printf_lli.o,0.014872%,6,0,6,0,0,0
_printf_lld.o,0.014872%,6,0,6,0,0,0
_printf_lc.o,0.014872%,6,0,6,0,0,0
_printf_i.o,0.014872%,6,0,6,0,0,0
_printf_g.o,0.014872%,6,0,6,0,0,0
_printf_f.o,0.014872%,6,0,6,0,0,0
